run,lam,w_std,c_std,rep,off_rho_std,wq_Short,wq_Standard,wq_Long,rho_Short,rho_Standard,rho_Long,pb_Short,pb_Standard,pb_Long,pb_total
5,60,0.65,64,4,1.2188,0.043172,4.121513,1.593043,0.644945,1.0,0.974772,0.0,0.183936,0.009362,0.12219
5,60,0.65,64,5,1.2188,0.026916,4.126202,1.721468,0.650979,1.0,0.977494,0.0,0.185188,0.013267,0.123704
5,60,0.65,64,6,1.2188,0.039241,4.085763,1.713763,0.668773,1.0,0.977512,0.0,0.174432,0.014132,0.116858
5,60,0.65,64,7,1.2188,0.040079,4.077344,1.513128,0.667853,1.0,0.971322,0.0,0.174298,0.009539,0.115582
5,60,0.65,64,8,1.2188,0.038441,4.06343,1.48536,0.65692,1.0,0.968707,0.0,0.174799,0.012442,0.116903
5,60,0.65,64,9,1.2188,0.029879,4.073242,1.495546,0.644521,1.0,0.969588,0.0,0.174882,0.007491,0.115673
5,60,0.65,64,10,1.2188,0.038043,4.059157,1.488326,0.654568,1.0,0.971613,0.0,0.172598,0.00944,0.114436
6,60,0.65,80,1,0.975,0.037354,0.664005,1.320239,0.659274,0.97012,0.967991,0.0,0.001655,0.009208,0.003492
6,60,0.65,80,2,0.975,0.038902,1.027711,1.696863,0.673148,0.978864,0.975698,0.0,0.00649,0.008147,0.006355
6,60,0.65,80,3,0.975,0.043476,0.616823,1.809066,0.651101,0.967512,0.980885,0.0,0.002127,0.016076,0.005617
6,60,0.65,80,4,0.975,0.043172,0.874453,1.593043,0.644945,0.975964,0.974772,0.0,0.003491,0.009362,0.004727
6,60,0.65,80,5,0.975,0.026916,0.891248,1.721468,0.650979,0.979487,0.977494,0.0,0.003058,0.013267,0.005482
6,60,0.65,80,6,0.975,0.039241,0.574358,1.713763,0.668773,0.968008,0.977512,0.0,0.001382,0.014132,0.004616
6,60,0.65,80,7,0.975,0.040079,0.748595,1.513128,0.667853,0.969769,0.971322,0.0,0.00235,0.009539,0.004039
6,60,0.65,80,8,0.975,0.038441,0.622471,1.48536,0.65692,0.968126,0.968707,0.0,0.001536,0.012442,0.004265
6,60,0.65,80,9,0.975,0.029879,0.721847,1.495546,0.644521,0.968564,0.969588,0.0,0.001658,0.007491,0.003048
6,60,0.65,80,10,0.975,0.038043,0.571065,1.488326,0.654568,0.966035,0.971613,0.0,0.001431,0.00944,0.003417
7,60,0.8,64,1,1.5,3e-06,4.165278,0.000429,0.37829,1.0,0.564173,0.0,0.328506,0.0,0.26272
7,60,0.8,64,2,1.5,2.6e-05,4.20734,0.000127,0.37658,1.0,0.562456,0.0,0.339886,0.0,0.272552
7,60,0.8,64,3,1.5,0.000261,4.146084,0.000265,0.37104,1.0,0.570984,0.0,0.32609,0.0,0.260633
7,60,0.8,64,4,1.5,7.8e-05,4.200433,0.000327,0.369692,1.0,0.56559,0.0,0.336425,0.0,0.269329
7,60,0.8,64,5,1.5,0.0,4.210895,0.00029,0.372018,1.0,0.568649,0.0,0.338441,0.0,0.270573
7,60,0.8,64,6,1.5,0.000122,4.174253,7e-05,0.373926,1.0,0.567078,0.0,0.330764,0.0,0.26463
7,60,0.8,64,7,1.5,3.2e-05,4.179222,0.000439,0.378971,1.0,0.557304,0.0,0.330289,0.0,0.264144
7,60,0.8,64,8,1.5,0.000208,4.155698,0.000248,0.382008,1.0,0.56064,0.0,0.328389,0.0,0.262324
7,60,0.8,64,9,1.5,3.4e-05,4.160058,0.000114,0.370168,1.0,0.55292,0.0,0.329704,0.0,0.263874
7,60,0.8,64,10,1.5,0.000104,4.155036,0.0005,0.37319,1.0,0.559906,0.0,0.329212,0.0,0.263382
